study,protein,immunogen,distance_method
VTN502,gag,MRK,vxmatch_site
VTN502,pol,MRK,vxmatch_site
VTN502,nef,MRK,vxmatch_site
RV144,env,MN,vxmatch_site
RV144,env,AE,vxmatch_site
RV144,env,CM,vxmatch_site
RV144,gag,gag,vxmatch_site
RV144,pol,pol,vxmatch_site
RV144,nef,nefCON,vxmatch_site
RV144,rev,revCON,vxmatch_site
RV144,tat,tatCON,vxmatch_site
RV144,vif,vifCON,vxmatch_site
RV144,vpr,vprCON,vxmatch_site
RV144,vpu,vpuCON,vxmatch_site
RV144,nef,nefHXB2,vxmatch_site
RV144,rev,revHXB2,vxmatch_site
RV144,tat,tatHXB2,vxmatch_site
RV144,vif,vifHXB2,vxmatch_site
RV144,vpr,vprHXB2,vxmatch_site
RV144,vpu,vpuHXB2,vxmatch_site
